art,bio,che,eng,fre,ger,spa,mat,mus,phy,soc,
125,120,115,128,97,67,108,133,196,110,105,
129,101,137,126,109,71,84,139,206,116,98,
130,87,131,125,103,61,99,146,199,149,86,
125,118,116,128,111,67,94,134,196,112,104,
129,102,136,126,95,71,96,139,206,116,98,
130,87,131,125,117,61,87,146,199,147,87,
125,117,117,128,98,67,107,134,197,113,103,
129,102,135,126,109,71,85,138,205,116,99,
130,88,131,125,102,62,99,145,199,146,87,
125,115,118,128,112,66,93,135,197,115,102,
129,103,134,127,95,70,97,138,205,116,99,
130,89,131,125,116,62,87,145,200,144,88,
126,114,118,127,98,66,106,135,197,117,102,
129,104,133,127,109,70,86,138,204,116,99,
130,90,131,125,102,63,99,145,200,143,88,
126,113,119,127,112,66,93,136,197,118,101,
128,104,132,127,96,70,98,138,204,116,99,
130,90,131,125,116,63,87,144,200,141,89,
126,112,119,127,98,66,105,136,197,119,100,
128,104,132,127,109,70,86,138,204,116,99,
130,91,131,125,101,63,99,144,200,140,89,
126,111,120,127,112,66,92,137,197,120,100,
128,105,131,127,96,70,99,138,203,116,99,
130,92,131,126,115,64,87,144,200,139,90,
126,110,121,127,99,66,105,137,197,121,99,
128,105,131,127,110,69,87,138,203,117,99,
130,92,131,126,101,64,99,143,200,138,90,
126,109,121,127,113,66,92,137,198,122,99,
128,105,130,127,96,69,99,138,203,117,99,
129,93,131,126,115,64,87,143,201,137,91,
127,108,122,127,99,66,104,137,198,123,98,
128,105,130,127,110,69,87,138,202,117,99,
129,94,131,126,100,64,99,143,201,136,91,
127,107,122,127,113,65,91,138,198,123,98,
128,105,129,127,96,69,100,138,202,117,99,
129,94,131,126,114,65,87,143,201,135,92,
127,107,123,127,99,65,104,138,198,124,98,
128,105,129,127,110,69,88,138,202,118,99,
129,95,131,126,100,65,99,142,201,134,92,
127,106,123,127,113,65,91,138,198,124,97,
128,105,129,127,97,69,100,138,202,118,99,
129,95,131,126,114,65,87,142,201,133,92,
127,106,123,127,99,65,103,138,198,125,97,
128,105,128,127,111,68,88,138,202,118,99,
129,96,131,126,99,65,99,142,201,133,93,
127,105,124,127,113,65,90,139,198,125,97,
128,105,128,127,97,68,101,138,201,119,99,
129,96,131,126,113,65,87,142,201,132,93,
127,105,124,127,99,65,103,139,199,126,97,
128,105,128,127,111,68,88,138,201,119,99,
129,97,130,126,99,65,99,141,201,131,93,
127,104,124,127,113,65,90,139,199,126,97,
128,105,128,127,97,68,101,138,201,119,99,
129,97,130,126,113,66,87,141,201,131,93,
127,104,125,127,99,65,103,139,199,126,96,
128,105,128,127,111,68,88,138,201,120,98,
129,98,130,126,99,66,99,141,201,130,94,
128,104,125,127,113,65,90,139,199,126,96,
128,105,128,127,97,68,101,138,201,120,98,
129,98,130,126,113,66,87,141,201,130,94,
128,103,125,127,99,65,102,139,199,126,96,
128,105,127,127,111,68,88,138,201,120,98,
129,98,130,126,99,66,100,141,201,129,94,
128,103,125,126,113,65,89,139,199,127,96,
128,105,127,127,97,67,101,138,201,121,98,
129,99,130,126,113,66,87,141,201,129,94,
128,103,126,126,99,65,102,139,199,127,96,
128,105,127,127,111,67,88,138,201,121,98,
129,99,130,126,99,66,100,141,201,128,95,
128,103,126,126,113,66,89,139,199,127,96,
128,105,127,127,98,67,101,138,201,121,98,
129,99,130,126,113,66,87,140,201,128,95,
128,102,126,126,99,66,102,139,199,127,96,
128,105,127,127,112,67,89,138,201,122,98,
129,100,129,126,99,66,100,140,201,128,95,
128,102,126,126,113,66,89,140,199,127,96,
128,105,127,127,98,67,101,138,201,122,98,
128,100,129,126,113,66,88,140,201,127,95,
128,102,126,126,99,66,102,140,200,127,96,
128,104,127,127,112,67,89,138,200,122,98,
128,100,129,126,99,66,100,140,201,127,95,
128,102,127,126,113,66,89,140,200,127,96,
128,104,127,127,98,67,101,139,200,122,97,
128,100,129,126,112,66,88,140,201,127,95,
128,102,127,126,99,66,101,140,200,127,96,
128,104,127,127,112,67,89,139,200,123,97,
128,100,129,126,98,66,100,140,201,127,95,
128,102,127,126,113,66,89,140,200,127,96,
128,104,127,127,98,67,101,139,200,123,97,
128,101,129,126,112,66,88,140,201,126,95,
128,102,127,126,99,66,101,140,200,127,96,
128,104,127,127,112,67,89,139,200,123,97,
128,101,129,126,98,66,100,140,201,126,96,
128,102,127,126,113,66,89,140,200,127,96,
128,104,127,127,98,67,101,139,200,123,97,
128,101,129,126,112,66,88,140,201,126,96,
128,102,127,126,99,66,101,140,200,127,96,
128,104,127,127,112,67,89,139,200,123,97,
128,101,129,126,98,66,100,140,201,126,96,
128,102,127,126,113,66,89,140,200,127,96,
128,104,127,127,98,67,101,139,200,124,97,
128,101,129,126,112,66,88,140,201,126,96,
128,102,127,126,99,66,101,140,200,127,96,
128,104,127,127,112,67,89,139,200,124,97,
128,101,128,126,98,66,100,140,201,126,96,
128,102,127,126,113,66,89,140,200,127,96,
128,103,127,127,98,67,101,139,200,124,97,
128,101,128,126,112,66,88,140,201,126,96,
128,102,127,126,99,66,101,140,200,127,96,
128,103,127,127,112,67,89,139,200,124,97,
128,102,128,126,98,66,100,140,201,126,96,
128,102,127,126,113,66,88,140,200,127,96,
128,103,127,127,98,67,101,139,200,124,97,
128,102,128,126,112,66,88,140,201,126,96,
128,102,127,126,99,66,101,140,200,127,96,
128,103,127,127,112,66,89,139,200,124,97,
128,102,128,126,98,66,101,140,201,125,96,
128,102,127,126,113,66,88,140,200,126,96,
128,103,127,127,98,66,101,139,200,124,97,
128,102,128,126,112,66,88,140,201,125,96,
128,102,127,126,99,66,101,140,200,126,96,
128,103,127,127,112,66,89,139,200,124,97,
128,102,128,126,98,66,101,139,201,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,97,
128,102,128,126,112,66,88,139,201,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,89,139,200,125,97,
128,102,128,126,98,66,101,139,201,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,89,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,89,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,89,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,103,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,99,66,101,140,200,126,96,
128,103,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,113,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,140,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,140,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,140,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,140,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,126,96,
128,102,127,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,126,96,
128,102,127,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
128,102,128,126,112,66,88,139,200,125,96,
128,102,128,126,98,66,101,139,200,125,96,
